,subject,age,gender,trial,colour1,colour2,col1_name,col2_name,colour_distance,category,accuracy,rt
18,worldofwarcraftexpert,22,f,19,"[1, -0.4, 0.19999999999999996]","[1, -0.7, -0.4]",pink,pink,0.6,within,1,818.9860931
19,worldofwarcraftexpert,22,f,20,"[1, -0.85, -0.7]","[1, -0.775, -0.55]",pink,pink,0.15,within,1,1394.368415
20,worldofwarcraftexpert,22,f,21,"[1, -1.0, -1.0]","[1, -0.85, -0.7]",red,pink,0.3,across,1,613.8861403
21,worldofwarcraftexpert,22,f,22,"[1, -1.0, -1.0]","[1, -0.475, 0.050000000000000044]",red,pink,1.05,across,1,745.7240921
22,worldofwarcraftexpert,22,f,23,"[1, -0.475, 0.050000000000000044]","[1, -0.55, -0.10000000000000009]",pink,pink,0.15,within,1,771.2495044
23,worldofwarcraftexpert,22,f,24,"[1, -0.85, -0.7]","[1, -0.55, -0.10000000000000009]",pink,pink,0.6,within,1,961.4654042
24,worldofwarcraftexpert,22,f,25,"[1, -0.625, -0.25]","[1, -0.7, -0.4]",pink,pink,0.15,within,1,814.6931292
25,worldofwarcraftexpert,22,f,26,"[1, -0.775, -0.55]","[1, -0.7, -0.4]",pink,pink,0.15,within,1,1604.466652
26,worldofwarcraftexpert,22,f,27,"[1, -0.625, -0.25]","[1, -1.0, -1.0]",pink,red,0.75,across,1,559.3266679
27,worldofwarcraftexpert,22,f,28,"[1, -0.925, -0.85]","[1, -0.7, -0.4]",red,pink,0.45,across,1,1096.82175
28,worldofwarcraftexpert,22,f,29,"[1, -0.7, -0.4]","[1, -0.925, -0.85]",pink,red,0.45,across,1,665.837723
29,worldofwarcraftexpert,22,f,30,"[1, -0.625, -0.25]","[1, -0.475, 0.050000000000000044]",pink,pink,0.3,within,1,1206.439805
30,worldofwarcraftexpert,22,f,31,"[1, -0.925, -0.85]","[1, -0.625, -0.25]",red,pink,0.6,across,1,679.4557903
31,worldofwarcraftexpert,22,f,32,"[1, -0.55, -0.10000000000000009]","[1, -0.475, 0.050000000000000044]",pink,pink,0.15,within,1,1526.766007
32,worldofwarcraftexpert,22,f,33,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.925, -0.85]",pink,red,1.2,across,1,651.0978118
33,worldofwarcraftexpert,22,f,34,"[1, -0.475, 0.050000000000000044]","[1, -0.7, -0.4]",pink,pink,0.45,within,1,1815.605685
34,worldofwarcraftexpert,22,f,35,"[1, -1.0, -1.0]","[1, -0.925, -0.85]",red,red,0.15,within,1,3374.647147
35,worldofwarcraftexpert,22,f,36,"[1, -0.85, -0.7]","[1, -0.4, 0.19999999999999996]",pink,pink,0.9,within,1,867.2494921
36,worldofwarcraftexpert,22,f,37,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.85, -0.7]",pink,pink,1.05,within,1,698.4132602
37,worldofwarcraftexpert,22,f,38,"[1, -0.85, -0.7]","[1, -1.0, -1.0]",pink,red,0.3,across,1,1295.226546
38,worldofwarcraftexpert,22,f,39,"[1, -0.55, -0.10000000000000009]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.45,within,1,900.1133129
39,worldofwarcraftexpert,22,f,40,"[1, -0.475, 0.050000000000000044]","[1, -0.775, -0.55]",pink,pink,0.6,within,1,751.9134698
40,worldofwarcraftexpert,22,f,41,"[1, -0.775, -0.55]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.9,within,1,783.1240199
41,worldofwarcraftexpert,22,f,42,"[1, -0.85, -0.7]","[1, -0.475, 0.050000000000000044]",pink,pink,0.75,within,1,744.5576206
42,worldofwarcraftexpert,22,f,43,"[1, -0.775, -0.55]","[1, -0.925, -0.85]",pink,red,0.3,across,1,626.4788001
43,worldofwarcraftexpert,22,f,44,"[1, -0.925, -0.85]","[1, -0.475, 0.050000000000000044]",red,pink,0.9,across,1,1003.278329
44,worldofwarcraftexpert,22,f,45,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.7, -0.4]",pink,pink,0.75,within,1,877.0998667
45,worldofwarcraftexpert,22,f,46,"[1, -0.85, -0.7]","[1, -0.925, -0.85]",pink,red,0.15,across,1,1282.352271
46,worldofwarcraftexpert,22,f,47,"[1, -0.4, 0.19999999999999996]","[1, -0.625, -0.25]",pink,pink,0.45,within,1,770.3154038
